****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 5 threads.
Random seed: 43
Point estimation method: EM algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 43x1117
Performing five EM steps to prime main algorithm
197 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12235.3	(delta): 0.0322887
198 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -12235.3	(delta): 0.0227869
199 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -12235.2	(delta): 0.0159123
200 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -12235.2	(delta): 0.0139157
201 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -12235.2	(delta): 0.0140067
202 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12235.1	(delta): 0.0819432
203 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -12235.1	(delta): 0.0348246
204 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12235	(delta): 0.0701386
205 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12235	(delta): 0.0783315
206 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12234.9	(delta): 0.0107229
207 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12234.7	(delta): 0.231
208 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12234.5	(delta): 0.201369
209 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12234.5	(delta): 0.0496446
210 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12234.4	(delta): 0.0118764
211 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12234	(delta): 0.420976
212 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.6	(delta): 0.396163
213 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.4	(delta): 0.183459
214 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.4	(delta): 0.00903121
215 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.4	(delta): 0.0153388
216 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.4	(delta): 0.0056727
217 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.4	(delta): 0.00364673
218 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.4	(delta): 0.00363676
219 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.4	(delta): 0.00374574
220 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.4	(delta): 0.00563875
221 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.4	(delta): 0.0155867
222 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.4	(delta): 0.00719917
223 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.4	(delta): 0.00728925
224 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.4	(delta): 0.001564
225 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.4	(delta): 0.00112761
226 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.4	(delta): 0.000889596
227 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.4	(delta): 0.000766299
228 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.4	(delta): 0.00104251
229 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.4	(delta): 0.0023312
230 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.4	(delta): 0.0104438
231 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.3	(delta): 0.0366898
232 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.3	(delta): 0.00215955
233 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.3	(delta): 0.00114929
234 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -12233.3	(delta): 0.000776532
235 (QN/EM) 	Elapsed: 0.022	Loglikelihood: -12233.3	(delta): 0.000754268
