****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 5 threads.
Random seed: 43
Point estimation method: EM algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 41x1060
Performing five EM steps to prime main algorithm
151 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11615.6	(delta): 3.25858
152 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11613.4	(delta): 2.17868
153 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11613	(delta): 0.360587
154 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11612.9	(delta): 0.103783
155 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11612.3	(delta): 0.590813
156 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11611.6	(delta): 0.691417
157 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11611.2	(delta): 0.401175
158 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11610.3	(delta): 0.937241
159 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11610	(delta): 0.326571
160 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11609.7	(delta): 0.2288
161 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11609.2	(delta): 0.530162
162 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11608.7	(delta): 0.502015
163 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11608.5	(delta): 0.254766
164 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11608.3	(delta): 0.172209
165 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11608.1	(delta): 0.185183
166 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11607.5	(delta): 0.639756
167 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11607.2	(delta): 0.24227
168 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11607.1	(delta): 0.129203
169 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11606.9	(delta): 0.230208
170 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11606.6	(delta): 0.287053
171 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11606	(delta): 0.52436
172 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11605.1	(delta): 0.981185
173 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11603.5	(delta): 1.60702
174 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11601.4	(delta): 2.06539
175 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11597.4	(delta): 3.98423
176 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11593.2	(delta): 4.19536
177 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11592.4	(delta): 0.843307
178 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11588.6	(delta): 3.81045
179 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11586.4	(delta): 2.13459
180 (QN/EM) 	Elapsed: 0.024	Loglikelihood: -11586	(delta): 0.441756
181 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11585.4	(delta): 0.583399
182 (QN/EM) 	Elapsed: 0.023	Loglikelihood: -11583.6	(delta): 1.81316
